개방시설명,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,소재지도로명주소,소재지지번주소,사용안내전화번호,위도,경도,데이터기준일자
금산다락원 생명의집 대공연장,공휴일,9:00,21:00,9:00,21:00,Y,,,302,20,704,990,충청남도 금산군 금산읍 금산로 1559,,041-750-3493,36.11206663,127.4916234,2023-12-15
소공인특화지원센터 공동장비실,토+일,9:00,18:00,0:00,0:00,N,,무료,,,15,,경기도 군포시 당정로28번길 23,,,37.35302727,126.9576713,2023-11-30
소공인특화지원센터 교육장라운지A,토+일,9:00,18:00,0:00,0:00,N,,무료,,,40,,경기도 군포시 당정로28번길 23,,,37.35302727,126.9576713,2023-11-30
소공인특화지원센터 교육장라운지 휴게공간B,토+일,9:00,18:00,0:00,0:00,N,,무료,,,17,,경기도 군포시 당정로28번길 23,,,37.35302727,126.9576713,2023-11-30
소공인특화지원센터 교육장라운지 전체(A+B),토+일,9:00,18:00,0:00,0:00,N,,무료,,,50,,경기도 군포시 당정로28번길 23,,,37.35302727,126.9576713,2023-11-30
소공인특화지원센터 교육장라운지 회의실,토+일,9:00,18:00,0:00,0:00,N,,무료,,,6,,경기도 군포시 당정로28번길 23,,,37.35302727,126.9576713,2023-11-30
군포시새마을회관 강당,토+일,9:00,18:00,0:00,0:00,N,,무료,,,50,,경기도 군포시 산본천로 23,,,37.35935983,126.9264763,2023-11-30
다가온 다가온,토(12월~2월)+일,9:00,18:00,9:00,18:00,N,,무료,,,30,,경기도 군포시 당정로28번길 22,,,37.35269404,126.9575748,2023-11-30
다가온 크리에이터 on,토(12월~2월)+일,9:00,18:00,9:00,18:00,N,,무료,,,1,,경기도 군포시 당정로28번길 22,,,37.35269404,126.9575748,2023-11-30
다가온 프로그램실,토(12월~2월)+일,9:00,18:00,9:00,18:00,N,,무료,,,18,,경기도 군포시 당정로28번길 22,,,37.35269404,126.9575748,2023-11-30
강동구 성내2동 자치회관 새미실(지하1층),공휴일,9:00,21:00,9:00,18:00,Y,1,5000,,,,,서울특별시 강동구 풍성로37가길 62,서울특별시 강동구 성내동 508,,37.53243047,127.1295279,2023-08-18
강동구 성내3동 자치회관 제1강의실(2층),공휴일,9:00,21:00,9:00,18:00,Y,1,5000,,,,,서울특별시 강동구 풍성로37가길 62,서울특별시 강동구 성내동 508,,37.53243047,127.1295279,2023-08-18
강동구 성내3동 자치회관 다목적실(지하1층),공휴일,9:00,21:00,9:00,18:00,Y,1,5000,,,,,서울특별시 강동구 강동대로53길 76,서울특별시 강동구 성내동 430-29,,37.5260027,127.1328729,2023-08-18
강동구 성내3동 자치회관 제2강의실(2층),공휴일,9:00,21:00,9:00,18:00,Y,1,5000,,,,,서울특별시 강동구 강동대로53길 76,서울특별시 강동구 성내동 430-29,,37.5260027,127.1328729,2023-08-18
강동구 길동 주민센터 회의실(3층),공휴일,9:00,21:00,9:00,18:00,N,,,,,,,서울특별시 강동구 강동대로53길 76,서울특별시 강동구 성내동 430-29,,37.52604217,127.1328839,2023-08-18
강동구 둔촌2동 자치회관 다목적실(2층),공휴일,9:00,21:00,9:00,18:00,N,,,,,,,서울특별시 강동구 천호대로186길 7,서울특별시 강동구 둔촌동 65,,37.5333052,127.1419351,2023-08-18
서대문구 홍은1동 주민센터 3층 강좌실,토요일+일요일+공휴일,9:00,18:00,0:00,0:00,N,1,0,1,,20,55,서울특별시 서대문구 홍은중앙로 85,서울특별시 서대문구 홍은동 11-853,02-330-8483,37.598849,126.9471453,2023-07-14
서대문구 홍은2동 주민센터 취미교실,토요일+일요일+공휴일,9:00,18:00,0:00,0:00,N,1,0,1,,20,50.2,서울특별시 서대문구 모래내로 334,서울특별시 서대문구 홍은동 273-10,02-330-8501,37.58010825,126.934135,2023-07-14
서대문구 남가좌1동 주민자치 지하2층 커뮤니티실1,토요일+일요일+공휴일,9:00,18:00,0:00,0:00,N,1,0,1,,50,210,서울특별시 서대문구 모래내로15길 37,서울특별시 서대문구 남가좌동 115-36,02-330-8510,37.57327487,126.9197797,2023-07-14
서대문구 남가좌1동 주민센터 지하2층 커뮤니티실2,토요일+일요일+공휴일,9:00,18:00,0:00,0:00,N,1,0,1,,20,45,서울특별시 서대문구 모래내로15길 37,서울특별시 서대문구 남가좌동 115-36,02-330-8510,37.57327487,126.9197797,2023-07-14
서대문구 남가좌1동 주민센터 지하2층 커뮤니티실3,토요일+일요일+공휴일,9:00,18:00,0:00,0:00,N,1,0,1,,10,32,서울특별시 서대문구 모래내로15길 37,서울특별시 서대문구 남가좌동 115-36,02-330-8510,37.57327487,126.9197797,2023-07-14
군포시가야종합사회복지관 건강재능실,토+일,9:00,18:00,0:00,0:00,Y,1,(시간당)5000원,,,40,,경기도 군포시 번영로 331-1,,,37.34559177,126.9230987,2023-11-30
군포시가야종합사회복지관 다목적교실,토+일,9:00,18:00,0:00,0:00,Y,1,(시간당)5000원,,,30,,경기도 군포시 번영로 331-1,,,37.34559177,126.9230987,2023-11-30
군포시가야종합사회복지관 집단지도교실1,토+일,9:00,18:00,0:00,0:00,Y,1,(시간당)5000원,,,10,,경기도 군포시 번영로 331-1,,,37.34559177,126.9230987,2023-11-30
군포시가야종합사회복지관 집단지도교실2,토+일,9:00,18:00,0:00,0:00,Y,1,(시간당)5000원,,,16,,경기도 군포시 번영로 331-1,,,37.34559177,126.9230987,2023-11-30
군포시가야종합사회복지관 경로식당,토+일,9:00,18:00,0:00,0:00,Y,1,(시간당)10000원,,,80,,경기도 군포시 번영로 331-1,,,37.34559177,126.9230987,2023-11-30
종합운동장 운동장,연중무휴,9:00,22:00,9:00,22:00,Y,4,(평일)70000원+(휴일)100000원,1,25000,15000,45289,강원특별자치도 삼척시 동해대로 4234,강원특별자치도 삼척시 교동 254,033-571-2763,37.45645804,129.1720971,2024-01-18
삼척체육관 실내체육관,연중무휴,9:00,22:00,9:00,22:00,Y,8,(평일)75000원+(휴일)100000원,1,125000,3000,3768,강원특별자치도 삼척시 동해대로 4234-1,강원특별자치도 삼척시 교동 243-13,033-571-2763,37.45645804,129.1720971,2024-01-18
종합운동장 족구장,연중무휴,9:00,22:00,9:00,22:00,Y,,,,,50,1836,강원특별자치도 삼척시 동해대로 4234-1,강원특별자치도 삼척시 교동 243-13,033-571-2768,37.45634596,129.1744452,2024-01-18
사직 풋살장,연중무휴,9:00,22:00,9:00,22:00,Y,,,,,50,1050,강원특별자치도 삼척시 중앙로 110-24,강원특별자치도 삼척시 사직동 261-10,033-571-2768,37.43465509,129.1695942,2024-01-18
강동구 암사2동 자치회관 회의실(3층),공휴일,9:00,21:00,9:00,18:00,Y,1,5000,,,,,서울특별시 강동구 고덕로24길 49,서울특별시 강동구 암사동 474-6,,37.5523331,127.1357214,2023-08-18
강동구 암사2동 자치회관 제1강의실(3층),공휴일,9:00,21:00,9:00,18:00,Y,1,5000,,,,,서울특별시 강동구 상암로3길 28,서울특별시 강동구 암사동 503-8,,37.5517094,127.1272073,2023-08-18
강동구 암사3동 자치회관 다목적실1(4층),공휴일,9:00,21:00,9:00,18:00,N,,,,,,,서울특별시 강동구 상암로3길 28,서울특별시 강동구 암사동 503-8,,37.5517094,127.1272073,2023-08-18
강동구 암사3동 자치회관 다목적실2(4층),공휴일,9:00,21:00,9:00,18:00,N,,,,,,,서울특별시 강동구 상암로3길 28,서울특별시 강동구 암사동 503-8,,37.5517094,127.1272073,2023-08-18
강동구 암사3동 자치회관 회의실(3층),공휴일,9:00,21:00,9:00,18:00,N,,,,,,,서울특별시 강동구 고덕로 137,서울특별시 강동구 암사동 414-19,,37.5549581,127.1407803,2023-08-18
강동구 암사3동 자치회관 강당(5층),공휴일,9:00,21:00,9:00,18:00,N,,,,,,,서울특별시 강동구 고덕로 137,서울특별시 강동구 암사동 414-19,,37.5549581,127.1407803,2023-08-18
강동구 천호1동  자치회관 회의실(2층),공휴일,9:00,21:00,9:00,18:00,N,,,,,,,서울특별시 강동구 고덕로 137,서울특별시 강동구 암사동 414-19,,37.5549581,127.1407803,2023-08-18
강동구 천호1동 자치회관 다목적실(3층),공휴일,9:00,21:00,9:00,18:00,N,,,,,,,서울특별시 강동구 구천면로42길 59,서울특별시 강동구 천호동 76-2,,37.54502087,127.1367917,2023-08-18
강동구 천호2동 주민센터 회의실(3층),공휴일,9:00,21:00,9:00,18:00,Y,1,5000,,,,,서울특별시 강동구 구천면로42길 59,서울특별시 강동구 천호동 76-2,,37.54502087,127.1367917,2023-08-18
강동구 천호2동 제1자치회관 다목적실(4층),공휴일,9:00,21:00,9:00,18:00,Y,1,5000,,,,,서울특별시 강동구 올림픽로 698,서울특별시 강동구 천호동 358,,37.5434227,127.1254198,2023-08-18
강동구 천호3동 자치회관 회의실(17층),공휴일,9:00,21:00,9:00,18:00,N,,,,,,,서울특별시 강동구 천호대로 1089,서울특별시 강동구 천호동 447-17,,37.53660488,127.1331156,2023-08-18
강동구 성내1동 제1강의실(3층),공휴일,9:00,21:00,9:00,18:00,N,,,,,,,서울특별시 강동구 진황도로23길 7,서울특별시 강동구 천호동 555,,37.54004284,127.1297914,2023-08-18
강동구 성내1동 제2강의실(3층),공휴일,9:00,21:00,9:00,18:00,N,,,,,,,서울특별시 강동구 성내로 13,서울특별시 강동구 성내동 539-1,,37.53047772,127.1224424,2023-08-18
강동구 성내2동 자치회관 다목적실(3층),공휴일,9:00,21:00,9:00,18:00,Y,1,5000,,,,,서울특별시 강동구 성내로 13,서울특별시 강동구 성내동 539-1,,37.53047772,127.1224424,2023-08-18
강동구 성내2동 자치회관 새별실(지하1층),공휴일,9:00,21:00,9:00,18:00,Y,1,5000,,,,,서울특별시 강동구 풍성로37가길 62,서울특별시 강동구 성내동 508,,37.53243047,127.1295279,2023-08-18
고양리틀야구장,연중무휴,8:00,20:00,8:00,20:00,Y,3,57000,3,57000,50,25163,경기도 고양시 일산서구 중앙로 1601(대화동),경기도 고양시 일산서구 대화동 2320,031-929-4862,37.67642241,126.7430639,2023-12-22
성저테니스장,설날 연휴+추석 연휴,6:00,22:00,6:00,22:00,Y,2,6600,2,6600,16,3050,경기도 고양시 일산서구 중앙로 1601(대화동),경기도 고양시 일산서구 대화동 2320,031-929-4862,37.67642241,126.7430639,2023-12-22
노래하는분수대 광장,연중무휴,0:00,23:59,0:00,23:59,N,,,,,,51700,경기도 고양시 일산동구 호수로731(장항동),경기도 고양시 일산동구 장항동 906,031-924-5822,37.66444706,126.7604422,2023-12-22
고양문화의집 2층 영화관람실,일+법정 공휴일,10:00,18:00,10:00,18:00,N,,,,,4,,경기도 고양시 일산서구 산현로 99,경기도 고양시 일산서구 탄현동 1590,031-911-2500,37.69232358,126.7722764,2023-12-22
발연2리(공원)야외운동기구,연중무휴,0:00,23:59,0:00,23:59,N,,,,,,,,충청남도 예산군 예산읍 발연리 94-1,041-339-8981,36.6965559,126.8355751,2023-12-21
인천광역시 송도LNG종합스포츠타운 [축구]보조경기장,설연휴+추석연휴,8:00,18:00,8:00,23:59,Y,2,(평일) 100000원+(주말) 150000원,,,600,8029,인천광역시 연수구 인천신항대로 916,인천광역시 연수구 송도동 379,032-815-5321,37.3513403,126.61573,2023-10-31
인천광역시 송도LNG종합스포츠타운 [축구]풋살장(2면),설연휴+추석연휴,8:00,18:00,8:00,23:59,Y,2,(평일) 40000원+(주말) 60000원,,,242,1620,인천광역시 연수구 인천신항대로 916,인천광역시 연수구 송도동 379,032-815-5321,37.3513403,126.61573,2023-10-31
인천광역시 송도LNG종합스포츠타운 [야구]실내연습장,설연휴+추석연휴,8:00,22:00,8:00,23:59,Y,2,(평일) 140000원+(주말) 210000원,,,760,3512,인천광역시 연수구 인천신항대로 916,인천광역시 연수구 송도동 379,032-815-5321,37.3513403,126.61573,2023-10-31
인천광역시 송도LNG종합스포츠타운 [야구]주경기장,설연휴+추석연휴,7:00,23:00,7:00,23:00,Y,3,(평일) 120000원+(주말) 180000원,,,688,12411,인천광역시 연수구 인천신항대로 916,인천광역시 연수구 송도동 379,032-815-5321,37.3513403,126.61573,2023-10-31
인천광역시 송도LNG종합스포츠타운 [야구]보조경기장,설연휴+추석연휴,7:00,18:00,7:00,18:00,Y,3,(평일) 110000원+(주말) 160000원,,,688,12411,인천광역시 연수구 인천신항대로 916,인천광역시 연수구 송도동 379,032-815-5321,37.3513403,126.61573,2023-10-31
인천광역시 송도LNG종합스포츠타운 [야구]송도구장,설연휴+추석연휴,7:00,18:00,7:00,18:00,Y,3,(평일) 80000원+(주말) 120000원,,,1179,10163,인천광역시 연수구 인천신항대로 916,인천광역시 연수구 송도동 379,032-815-5321,37.3513403,126.61573,2023-10-31
인천광역시 송도LNG종합스포츠타운 [야구]LNG구장(6면),설연휴+추석연휴,7:00,18:00,7:00,18:00,Y,3,(평일) 80000원+(주말) 120000원,,,7077,60983,인천광역시 연수구 인천신항대로 916,인천광역시 연수구 송도동 379,032-815-5321,37.3513403,126.61573,2023-10-31
인천광역시 수봉궁도장 기타,설연휴+추석연휴,9:00,18:00,9:00,17:00,Y,2,1400원,2,1400,100,7250,인천광역시 미추홀구 수봉로 95번길 32,인천광역시 미추홀구 숭의동 7-171,032-715-5618,37.460025,126.661411,2023-10-31
이천시 설봉공원 테니스장,설연휴+추석연휴,6:00,22:00,9:00,22:00,N,,,,,,4144,경기도 이천시 경충대로2709번길 128,,031-631-7400,37.27945718,127.4275554,2024-01-23
이천시 설봉공원 국궁장,연중무휴,0:00,23:59,0:00,23:59,N,,,,,,5400,경기도 이천시 경충대로2709번길 128,,031-645-3847,37.27945718,127.4275554,2024-01-23
이천시 설봉공원 족구장,연중무휴,0:00,23:59,0:00,23:59,N,,,,,,1004,경기도 이천시 경충대로2709번길 128,,031-645-3847,37.27945718,127.4275554,2024-01-23
이천시 호법면 농어민문화체육센터,설연휴+추석연휴,9:00,22:00,9:00,22:00,Y,,평일120000+주말150000,0,,,640,경기도 이천시 호법면 동산로395번길 139-38,,031-632-9001,37.21554661,127.4073168,2024-01-23
마장면 체육공원 다목적 실내체육관,설연휴+추석연휴,9:00,22:00,9:00,22:00,Y,2,평일주간20000+평일야간25000+주말주간30000+주말야간35000+체육경기외14000,1,,100,879,경기도 이천시 마장면 서이천로 200,경기도 이천시 마장면 이치리 686,031-644-8573,37.25301402,127.3788779,2024-01-23
해밀동 복합커뮤니티센터 GX룸,법정공휴일,9:00,22:00,9:00,18:00,Y,1,5720,,,,,세종특별자치시 해밀1로 45,,044-301-7415,36.52680088,127.2682438,2023-11-15
반곡동 복합커뮤니티센터 배드민턴,법정공휴일,9:00,22:00,9:00,18:00,Y,2,2000,,,,,세종특별자치시 반곡로 39,세종특별자치시 반곡동 45-8,044-301-7314,36.49885164,127.3108242,2023-11-15
어진동 복합커뮤니티센터 배드민턴,공휴일,9:00,22:00,0:00,0:00,Y,2,2000,,,,,,세종특별자치시 어진동 518,044-301-7514,36.50190569,127.2566165,2023-11-15
해남공룡박물관,월,9:00,18:00,9:00,18:00,Y,2,4000,1,0,,332610,전라남도 해남군 황산면 공룡박물관길 234,전라남도 해남군 황산면 우항리 191,061-530-5942,34.58908885,126.442833,2023-07-06
땅끝전망대,연중무휴,9:00,18:00,9:00,18:00,N,0,0,1,0,,645100,전라남도 해남군 송지면 땅끝마을길 100,전라남도 해남군 송지면 송호리 1158-5,061-530-5544,34.29471348,126.5250233,2023-07-06
우수영관광지해전사기념관,연중무휴,9:00,18:00,9:00,18:00,N,0,0,1,0,,29195,전라남도 해남군 문내면 관광레저로 12,전라남도 해남군 문내면 학동리 1021,061-530-5541,34.57264891,126.310144,2023-07-06
고산윤선도박물관,연중무휴,9:00,18:00,9:00,18:00,Y,2,1000,1,0,,1830,전라남도 해남군 해남읍 녹우당길 135,전라남도 해남군 해남읍 연동리 82,061-530-5548,34.55101668,126.6219247,2023-07-06
군포시보훈회관 107호 회의실,토+일,9:00,18:00,0:00,0:00,N,,,,,65,,경기도 군포시 산본천로 111 (산본동),,,37.36476082,126.9335779,2023-11-30
군포시보훈회관 106호 회의실,토+일,9:00,18:00,0:00,0:00,N,,,,,45,,경기도 군포시 산본천로 111 (산본동),,,37.36476082,126.9335779,2023-11-30
군포시보훈회관 민방위교육장(미디어상영관),토+일,9:00,18:00,0:00,0:00,N,,,,,320,,경기도 군포시 산본천로 111 (산본동),,,37.36476082,126.9335779,2023-11-30
군포시미디어센터 미디어소통방,월+일,9:00,18:00,0:00,0:00,N,,무료,,,7,,경기도 군포시 산본천로 111 (산본동),,,37.36476082,126.9335779,2023-11-30
군포시주몽종합사회복지관 지식나눔방1,토+일,9:00,18:00,0:00,0:00,Y,1,(시간당)5000원,,,15,,경기도 군포시 광정로 122,,,37.36287917,126.9273867,2023-11-30
군포시주몽종합사회복지관 지식나눔방3,토+일,9:00,18:00,0:00,0:00,Y,1,(시간당)5000원,,,16,,경기도 군포시 광정로 122,,,37.36287917,126.9273867,2023-11-30
군포시주몽종합사회복지관 소강당,토+일,9:00,18:00,0:00,0:00,Y,1,(시간당)5000원,,,20,,경기도 군포시 광정로 122,,,37.36287917,126.9273867,2023-11-30
군포시가야종합사회복지관 통합교육실,토+일,9:00,18:00,0:00,0:00,Y,1,(시간당)5000원,,,15,,경기도 군포시 번영로 331-1,,,37.34559177,126.9230987,2023-11-30
한솔동 축구장,연중무휴(월~금 학교 사용으로 인해 주말만 사용가능),9:00,22:00,9:00,18:00,Y,2,20000,1,,,7000,,세종특별자치시 한솔동 1246,044-301-3314,36.47759581,127.2547256,2023-11-15
한솔동 복합커뮤니티센터 수영장,첫째 주 일+셋째 주 일,6:00,20:50,9:00,17:00,Y,2,3000,,,,1744,세종특별자치시 나리로57-26,세종특별자치시 한솔동 961,044-865-9501,36.47750943,127.2558204,2023-11-15
보람동 복합커뮤니티센터 수영장,첫째 주 일+셋째 주 일,6:00,22:00,6:00,17:00,Y,2,3000,,,,2246,세종특별자치시 호려울로42,세종특별자치시 보람동 763,044-850-1280,36.47877461,127.2906141,2023-11-15
아름동스포츠센터,둘째 주 일+넷째 주 일,6:00,20:50,9:00,17:00,Y,2,3000,,,,4460,세종특별자치시 보듬3로 126,세종특별자치시 아름동 1324,044-868-8707,36.51223994,127.2457102,2023-11-15
장애인형 국민체육센터,둘째 주 일+넷째 주 일,6:00,22:00,6:00,17:00,Y,2,3000,,,,4946,세종특별자치시 시청대로 591,세종특별자치시 반곡동 67-1,044-850-4280,36.49466513,127.3192565,2023-11-15
조치원 복합커뮤니티센터 수영장,첫째 주 일+셋째 주 일,6:00,22:00,6:00,17:00,Y,2,3000,,,,1363,세종특별자치시 대첩로76,세종특별자치시 신흥리 277-1,044-850-4290,36.5954854,127.2875297,2023-11-15
조치원읍 복합커뮤니티센터 다목적실,법정공휴일,9:00,18:00,9:00,18:00,Y,1,주중 오전 3050+주중 오후 3830+주중 야간 4510+ 주말 오전 4230+주말 오후,,,50,98.44,세종특별자치시 조치원읍 대첩로 76,,044-301-5067,36.59556626,127.2880165,2023-11-15
도담동 복합커뮤니티센터 다목적실,법정공휴일,9:00,22:00,9:00,18:00,Y,1,주중 오전 5690+주중 오후 7160+주중 야간 8440+주말 오전 7890+주말 오후 ,,,145,183.6,세종특별자치시 보람로 77,,044-301-6219,36.51540672,127.2617472,2023-11-15
아름동 복합커뮤니티센터 다목적강당,법정공휴일,9:00,22:00,9:00,18:00,Y,1,주중 오전 19100+주중 오후 24100+주중 야간 28400+주말 오전 26600+주말,,,418,619.35,세종특별자치시 보듬3로 114,,044-301-6344,36.51235285,127.2468894,2023-11-15
종촌동 복합커뮤니티센터 다목적실,법정공휴일,9:00,22:00,9:00,18:00,Y,1,주중 오전 5487+주중 오후 6903+주중 야간 8142+주말 오전 7611+주말 오후 ,,,30,177,세종특별자치시 도움3로 125,,044-301-6415,36.5046354,127.2468694,2023-11-15
고운동 복합커뮤니티센터 다목적실,법정공휴일,9:00,22:00,9:00,18:00,Y,1,주중 오전 2350+주중 오후 2960+주중 야간 3490+주말 오전 3260+주말 오후 ,,,20,76,세종특별자치시 마음로 284,,044-301-6614,36.51972353,127.2365878,2023-11-15
새롬동 복합커뮤니티센터 댄스교실,법정공휴일,9:00,22:00,9:00,18:00,Y,1,주중 오전 6130+주중 오후 7720+주중 야간 9100+주말 오전 8510+주말 오후 ,,,50,198,,세종특별자치시 새롬동 341-72,044-301-6819,36.48511097,127.2518155,2023-11-15
보람동 복합커뮤니티센터 다목적 강당,법정공휴일,9:00,22:00,9:00,18:00,Y,1,주중 오전 8700+주중 오후 10900+주중 야간 12900+주말 오전 12100+주말 ,,,88,281.79,세종특별자치시 호려울로 42,,044-301-6716,36.47877461,127.2906144,2023-11-15
소담동 복합커뮤니티센터 다목적홀,법정공휴일,9:00,22:00,9:00,18:00,Y,1,주중 오전 13237+주중 오후 16653+주중 야간 19642+주말 오전 18361+주말,,,100,427,세종특별자치시 한누리대로 2023,,044-301-7016,36.48407449,127.3003697,2023-11-15
다정동 주민센터 생활체육교실,법정공휴일,10:00,22:00,9:00,18:00,Y,1,4860,,,,,세종특별자치시 다정남3로 10,,044-301-7122,36.49452387,127.2503429,2023-11-15
대평동 복합커뮤니티센터 GX룸,법정공휴일,9:00,22:00,9:00,18:00,Y,1,주중 오전 3930+ 주중 오후 4940+주말 오전 5450+주말 오후 6840,,,50,140,세종특별자치시 대평1길 10,,044-301-6920,36.47096178,127.2792,2023-11-15
광정동청소년문화의집 청소년운영위원회실,월,9:00,21:00,9:00,18:00,N,,무료,,,5,,경기도 군포시 광정로 106 (산본동),,,37.36208607,126.927942,2023-11-30
광정동청소년문화의집 홀(A),월,9:00,21:00,9:00,18:00,N,,무료,,,80,,경기도 군포시 광정로 106 (산본동),,,37.36208607,126.927942,2023-11-30
광정동청소년문화의집 홀무대(B),월,9:00,21:00,9:00,18:00,N,,무료,,,20,,경기도 군포시 광정로 106 (산본동),,,37.36208607,126.927942,2023-11-30
광정동청소년문화의집 홀 전체(A+B),월,9:00,21:00,9:00,18:00,N,,무료,,,100,,경기도 군포시 광정로 106 (산본동),,,37.36208607,126.927942,2023-11-30
광정동청소년문화의집 스낵룸,월,9:00,21:00,9:00,18:00,N,,무료,,,10,,경기도 군포시 광정로 106 (산본동),,,37.36208607,126.927942,2023-11-30
광정동청소년문화의집 노래방(광정동청소년문화의집),월,9:00,21:00,9:00,18:00,N,,무료,,,6,,경기도 군포시 광정로 106 (산본동),,,37.36208607,126.927942,2023-11-30
원천3리 야외운동기구,연중무휴,0:00,23:59,0:00,23:59,N,,,,,,,충청남도 예산군 오가면 원천남길 28,,041-339-8992,36.69596363,126.7881832,2023-12-21
광정동청소년문화의집 멀티방/상담실,월,9:00,21:00,9:00,18:00,N,,무료,,,4,,경기도 군포시 광정로 106 (산본동),,,37.36208607,126.927942,2023-11-30
당동청소년문화의집 강의실,월,9:00,21:00,9:00,18:00,N,,무료,,,8,,경기도 군포시 당산로 76,,,37.3583048,126.9462007,2023-11-30
